Study_ID	ITRDB_Code	Study_Name	Latitude	Longitude	Elevation	Species	FirstYear	LastYear
3024	ME022	Cook - Sag Pond - THOC - ITRDB ME022	46.77	-69.17	500	THOC	1674	1986
3030	ME023	Cook - Soper Brook West Branch - PIST - ITRDB ME023	46	-69.33	400	PIST	1692	1982
3040	ME024	Cook - Wizard Pond - PCRU - ITRDB ME024	44.58	-68.17	50	PCRU	1692	1982
3459	ME027	Hager - Portage - FRNI - ITRDB ME027	46.73	-68.47	250	FRNI	1872	1994
3460	ME028	Hager - St. Francis - FRNI - ITRDB ME028	47.2	-68.8	250	FRNI	1896	1994
3461	ME029	Hager - West Enfield - FRNI - ITRDB ME029	45.23	-68.62	70	FRNI	1864	1994
3457	ME030	Hager - Carroll - FRNI - ITRDB ME030	45.42	-68.07	120	FRNI	1880	1994
3456	ME031	Hager - Burnham - FRNI - ITRDB ME031	44.67	-69.4	70	FRNI	1873	1994
3458	ME032	Hager - Grindstone - FRNI - ITRDB ME032	45.73	-68.58	140	FRNI	1863	1994
2688	ME033	Bartholomay - Acadia National Park Regional - PIST - ITRDB ME033	44.37	-68.27	60	PIST	1840	1992
2689	ME034	Bartholomay - Acadia National Park Stand 6 - PIST - ITRDB ME034	44.42	-68.28	9	PIST	1840	1992
2690	ME035	Bartholomay - Acadia National Park Stand 8 - PIST - ITRDB ME035	44.33	-68.3	67	PIST	1886	1992
18960	ME036	Drummond - Bradford Camps - PCRU - ITRDB ME036	46.3943	-68.9949	310	PCRU	1879	2013
22310	ME037	Patterson - Wonderland - PIRI - ITRDB ME037	44.23139	-68.3147		PIRI	1804	2014
